\\Bb1,bb2,bb3,bb4,bb5,h1,h2,h3,h4,h5,p1,p2,p3,p4,p5]
15,0,6,0,0,4,59,0,29,2,19,88,6,9,8]
1,19,2,176,13,0,0,30,0,1,2,1,0,0,1]
8,24,20,43,35,10,6,28,4,9,21,7,12,0,20]
16,9,39,5,11,6,8,1,7,0,57,31,49,4,8]
25,31,31,8,32,1,0,11,0,2,40,16,18,12,26]
1,0,83,1,4,0,0,157,6,1,0,0,0,1,1]
43,2,11,0,0,3,17,1,0,10,11,22,23,50,64]
18,12,61,16,14,2,3,23,17,3,26,18,16,15,13]
1,9,0,3,20,0,0,218,1,4,0,0,0,0,2]
21,17,52,6,67,0,1,48,2,2,6,11,11,7,8]
22,21,17,47,9,6,6,51,7,19,5,9,7,25,9]
0,21,1,74,35,0,2,114,13,0,0,0,0,1,0]
5,35,11,42,46,1,1,51,4,5,44,5,9,3,6]
1,1,1,2,2,87,35,5,34,85,0,0,2,19,4]
49,0,122,1,3,1,1,1,0,1,70,10,5,7,16]
48,18,31,42,25,9,9,44,9,25,4,2,12,6,3]
1,6,1,12,7,0,0,257,1,2,0,0,0,1,0]
10,32,11,69,35,2,1,57,10,9,14,16,14,3,6]
10,14,66,26,42,0,0,30,5,0,48,8,34,2,5]
24,0,2,3,4,0,1,10,123,6,62,11,36,4,7]
31,14,2,1,2,1,0,30,6,0,19,20,21,69,79]
5,9,23,13,19,3,2,202,8,4,3,3,1,3,0]
6,4,63,22,7,7,5,14,0,33,36,18,10,23,50]
16,12,23,19,14,21,24,25,21,14,31,22,15,23,19]
9,166,25,50,33,0,1,9,0,3,0,1,0,1,3]
34,10,46,31,25,3,2,42,17,3,20,24,27,9,8]
18,28,10,69,19,17,9,43,25,40,5,5,6,1,7]
28,1,1,0,0,49,75,0,0,9,1,24,8,88,19]
24,157,15,15,3,1,0,8,37,2,3,9,4,20,6]
7,54,77,27,19,2,0,27,10,2,10,29,30,3,9]
27,21,49,28,25,18,14,16,2,48,7,10,24,10,10]
16,6,5,9,14,2,6,68,101,8,39,7,6,18,5]
79,42,49,26,37,0,0,3,1,0,9,28,30,0,10]
16,9,33,9,9,2,1,8,40,3,68,37,54,4,22]
12,21,66,18,26,22,4,11,37,17,33,18,13,11,7]
92,0,33,0,0,5,10,0,0,11,8,8,1,134,14]
4,0,4,3,0,0,2,4,33,2,229,20,15,0,3]
5,4,10,0,6,5,8,1,189,13,30,7,8,15,19]
24,14,57,13,18,14,3,34,5,44,18,21,20,19,19]
4,17,25,20,44,1,0,177,2,0,17,8,7,0,1]
10,30,7,56,28,9,31,16,5,20,13,20,15,49,15]
0,13,10,2,241,1,1,30,17,2,1,1,3,1,2]
8,49,3,44,50,0,2,99,7,4,48,3,3,1,5]
18,10,56,7,11,0,0,70,9,2,86,22,14,9,13]
12,45,3,94,41,7,14,39,20,8,7,7,18,3,10]
4,4,4,5,3,1,2,3,57,5,190,20,25,6,1]
21,11,21,12,17,25,19,29,23,18,24,32,35,35,9]
15,2,26,15,13,7,3,35,11,3,93,32,31,34,11]
22,0,1,0,1,4,76,10,150,20,10,20,6,7,7]
3,11,45,3,148,0,1,117,4,0,2,0,0,0,0]
